timestamp,date,trip,location_z,location_floor
1/2/2021 10:08,2/1/2021,0,L9_CG_entrance,9
1/2/2021 10:08,2/1/2021,0,L9_CG_entrance,9
1/2/2021 10:09,2/1/2021,0,L9_CG_garden_zone_2,9
1/2/2021 10:09,2/1/2021,0,L9_CG_garden_zone_2,9
1/2/2021 10:09,2/1/2021,0,L9_CG_garden_zone_2,9
1/2/2021 10:09,2/1/2021,0,L9_CG_garden_zone_3,9
1/2/2021 10:09,2/1/2021,0,L9_CG_garden_zone_3,9
1/2/2021 10:09,2/1/2021,0,L9_CG_garden_zone_3,9
1/2/2021 10:09,2/1/2021,0,L9_CG_garden_zone_3,9
1/2/2021 10:09,2/1/2021,0,L9_CG_garden_zone_3,9
1/2/2021 10:09,2/1/2021,0,L9_CG_garden_zone_3,9
1/2/2021 10:09,2/1/2021,0,L9_CG_garden_zone_3,9
1/2/2021 10:10,2/1/2021,0,L9_CG_garden_zone_3,9
1/2/2021 10:10,2/1/2021,0,L9_CG_garden_zone_2,9
1/2/2021 10:10,2/1/2021,0,L9_CG_garden_zone_2,9
1/2/2021 10:10,2/1/2021,0,L9_CG_garden_zone_2,9
1/2/2021 10:10,2/1/2021,0,L9_CG_garden_zone_2,9
1/2/2021 10:10,2/1/2021,0,L9_CG_garden_zone_2,9
1/2/2021 10:10,2/1/2021,0,L9_CG_entrance,9
1/2/2021 10:10,2/1/2021,0,L9_CG_entrance,9
1/2/2021 10:10,2/1/2021,0,L9_CG_entrance,9
1/2/2021 10:11,2/1/2021,0,L9_CG_entrance,9
1/2/2021 10:11,2/1/2021,0,L9_CG_entrance,9
1/2/2021 10:11,2/1/2021,0,L9_CG_entrance,9
1/2/2021 10:11,2/1/2021,0,L9_CG_entrance,9
1/2/2021 10:11,2/1/2021,0,L9_CG_entrance,9
1/2/2021 10:11,2/1/2021,0,L9_CG_entrance,9
1/2/2021 10:11,2/1/2021,0,L9_CG_entrance,9
1/2/2021 10:11,2/1/2021,0,L9_CG_entrance,9
1/2/2021 10:11,2/1/2021,0,L9_CG_entrance,9
1/2/2021 10:11,2/1/2021,0,L9_CG_entrance,9
1/2/2021 10:12,2/1/2021,0,L9_CG_entrance,9
1/2/2021 10:12,2/1/2021,0,L9_CG_entrance,9
1/2/2021 10:12,2/1/2021,0,L9_CG_entrance,9
1/2/2021 10:12,2/1/2021,0,L9_CG_garden_zone_1,9
1/2/2021 10:12,2/1/2021,0,L9_CG_garden_zone_1,9
1/2/2021 10:12,2/1/2021,0,L9_CG_entrance,9
1/2/2021 10:12,2/1/2021,0,L9_CG_entrance,9
1/2/2021 10:12,2/1/2021,0,L9_CG_entrance,9
1/2/2021 10:12,2/1/2021,0,L9_CG_entrance,9
1/2/2021 10:12,2/1/2021,0,L9_CG_sitting_area,9
1/2/2021 10:12,2/1/2021,0,L9_CG_sitting_area,9
1/2/2021 10:12,2/1/2021,0,L9_CG_sitting_area,9
1/2/2021 10:12,2/1/2021,0,L9_CG_sitting_area,9
1/2/2021 10:12,2/1/2021,0,L9_CG_sitting_area,9
1/2/2021 10:13,2/1/2021,0,L9_SLL,9
1/2/2021 10:13,2/1/2021,0,L9_SLL,9
1/2/2021 10:13,2/1/2021,0,L9_SLL,9
1/2/2021 10:13,2/1/2021,0,L9_SLL,9
1/2/2021 10:13,2/1/2021,0,L9_SLL,9
1/2/2021 10:13,2/1/2021,0,L9_SLL,9
1/2/2021 10:13,2/1/2021,0,L9_SLL,9
1/2/2021 10:13,2/1/2021,0,L6_SLL,6
1/2/2021 10:13,2/1/2021,0,L6_SLL,6
1/2/2021 10:13,2/1/2021,0,L6_SLL,6
1/2/2021 11:10,2/1/2021,1,L6_ST_5,6
1/2/2021 11:10,2/1/2021,1,L6_ST_5,6
1/2/2021 11:10,2/1/2021,1,L6_ST_5,6
1/2/2021 11:10,2/1/2021,1,L6_ST_5,6
1/2/2021 11:10,2/1/2021,1,L6_ST_5,6
1/2/2021 11:10,2/1/2021,1,L6_ST_5,6
1/2/2021 11:10,2/1/2021,1,L6_ST_5,6
1/2/2021 11:10,2/1/2021,1,L6_ST_5,6
1/2/2021 11:10,2/1/2021,1,L6_ST_5,6
1/2/2021 11:10,2/1/2021,1,L6_ST_5,6
1/2/2021 11:10,2/1/2021,1,L6_ST_5,6
1/2/2021 11:10,2/1/2021,1,L6_ST_5,6
1/2/2021 11:10,2/1/2021,1,L6_ST_5,6
1/2/2021 11:11,2/1/2021,1,L6_ST_5,6
1/2/2021 11:11,2/1/2021,1,L6_ST_5,6
1/2/2021 11:11,2/1/2021,1,L6_ST_5,6
1/2/2021 11:11,2/1/2021,1,L6_ST_5,6
1/2/2021 11:11,2/1/2021,1,L6_ST_5,6
1/2/2021 11:11,2/1/2021,1,L6_ST_5,6
1/2/2021 11:11,2/1/2021,1,L6_ST_5,6
1/2/2021 11:11,2/1/2021,1,L6_ST_5,6
1/2/2021 11:11,2/1/2021,1,L6_ST_5,6
1/2/2021 11:11,2/1/2021,1,L6_ST_5,6
1/2/2021 11:11,2/1/2021,1,L6_ST_5,6
1/2/2021 11:11,2/1/2021,1,L6_ST_5,6
1/2/2021 11:11,2/1/2021,1,L6_ST_5,6
1/2/2021 11:11,2/1/2021,1,L6_ST_5,6
1/2/2021 11:11,2/1/2021,1,L6_ST_5,6
1/2/2021 11:11,2/1/2021,1,L6_ST_5,6
1/2/2021 11:11,2/1/2021,1,L6_ST_5,6
1/2/2021 11:11,2/1/2021,1,L6_ST_5,6
